IdProduto,Quantidade,UltimaAtualizacao
P00012RZ6I,-1122,12/12/2025
P000048G0X,-626,12/12/2025
P0000DH8BF,-135,11/12/2025
P0000DHB4V,-119,11/12/2025
P00003L77A,-105,11/12/2025
P00013ZY8J,-105,11/12/2025
P0000DHE3S,-73,12/12/2025
P00003L13Y,-72,11/12/2025
P00004CM9V,-69,12/12/2025
P00002K76T,-68,11/12/2025
P00004C75V,-64,12/12/2025
P0000DHH0Q,-27,11/12/2025
P0000DFE6S,-26,12/12/2025
P0000DFK47,-20,11/12/2025
P0000E2IPV,-19,12/12/2025
P00003REEI,-19,12/12/2025
P000158M18,-18,11/12/2025
P0000RL10M,-7,12/12/2025
P0000VZ40E,-7,12/12/2025
P0000DHN50,-6,12/12/2025
P0000SVV8E,-3,11/12/2025
P00003MMIT,-2,11/12/2025
P0000XX8G8,-2,11/12/2025
P00004KM16,-1,12/12/2025
P00013EMKH,-1,12/12/2025
